D,T,cd,d2s,k,k_trap,law,nils,slope,t_bake,tau
2.0,80.0,32.03724469281211,6.717124679472083,0.6732321241469535,nan,analytical,4.726316911616634,-34.913802723485894,30.0,69.0256971517518
2.0,80.0,31.99223467574663,7.27384526669061,0.5794299051800758,0.0445,reaction_diffusion,4.726317184314537,-25.53129205175411,30.0,nan
4.2,80.0,32.039150240300984,7.075155779504111,0.6732321241469535,nan,analytical,4.726313148302332,-71.4235888326179,30.0,69.0256971517518
4.2,80.0,32.00608763923858,7.3497840289082585,0.5794299051800758,0.0445,reaction_diffusion,4.7263169202885305,-36.08129176311867,30.0,nan
8.0,80.0,32.01380665399945,7.795324304631324,0.6732321241469535,nan,analytical,4.717742587504023,-268.00326147754214,30.0,69.0256971517518
8.0,80.0,31.974487367001636,7.6086856602614,0.5794299051800758,0.0445,reaction_diffusion,4.7263140896162295,-58.75395215251133,30.0,nan
2.0,80.0,31.916913661696256,4.151413664461416,0.6732321241469535,nan,analytical,4.726314868928951,-52.69804295798261,60.0,69.0256971517518
2.0,80.0,32.05444297341509,4.137066520255244,0.5794299051800758,0.0445,reaction_diffusion,4.726319152224396,-33.83279369741039,60.0,nan
4.2,80.0,32.053862049994024,4.558171749185513,0.6732321241469535,nan,analytical,4.726321646084204,-181.44085042501519,60.0,69.0256971517518
4.2,80.0,32.0597815547303,4.282797778057883,0.5794299051800758,0.0445,reaction_diffusion,4.726309030872604,-57.44511103207206,60.0,nan
8.0,80.0,32.32118789061855,5.004784243241251,0.6732321241469535,nan,analytical,4.649176040956879,-655.8698980572112,60.0,69.0256971517518
8.0,80.0,32.033206506926234,4.495486100712162,0.5794299051800758,0.0445,reaction_diffusion,4.7263148977518155,-116.97261102010658,60.0,nan
2.0,80.0,31.891390425687238,3.0190716181541926,0.6732321241469535,nan,analytical,4.726317966611388,-83.10951351628769,120.0,69.0256971517518
2.0,80.0,32.03916413427627,2.768762815489492,0.5794299051800758,0.0445,reaction_diffusion,4.726317944922354,-47.0272408855237,120.0,nan
4.2,80.0,32.5698600037445,3.372761427372788,0.6732321241469535,nan,analytical,4.71774424993996,-471.48631126849256,120.0,69.0256971517518
4.2,80.0,32.13046396426906,2.8962185966961873,0.5794299051800758,0.0445,reaction_diffusion,4.726317994527532,-93.33001907498463,120.0,nan
8.0,80.0,28.89278146377744,3.589622170291849,0.6732321241469535,nan,analytical,3.6238132852655625,-655.8698980572112,120.0,69.0256971517518
8.0,80.0,32.2771889601999,3.050590650154907,0.5794299051800758,0.0445,reaction_diffusion,4.726316457750201,-195.16600297206486,120.0,nan
2.0,95.0,31.986755277170886,2.020536337213474,3.1304503885157593,nan,analytical,4.726321290682032,-28.78601390250652,30.0,23.84605575407521
2.0,95.0,32.02335293909343,1.7410686157602575,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726314743402911,-25.28424468624768,30.0,nan
4.2,95.0,32.053347540036214,2.055815790549071,3.1304503885157593,nan,analytical,4.726317961722561,-47.702365373385376,30.0,23.84605575407521
4.2,95.0,31.981803055679947,1.7592453284574998,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726319566674928,-35.232946923722885,30.0,nan
8.0,95.0,31.851511692500754,2.2108426461793047,3.1304503885157593,nan,analytical,4.726317954104424,-114.2475241997743,30.0,23.84605575407521
8.0,95.0,32.09434673033468,1.8086496897238695,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726314978020614,-56.61845267466244,30.0,nan
2.0,95.0,32.016961537766576,1.569317049348222,3.1304503885157593,nan,analytical,4.7263174189332595,-32.99157743496397,60.0,23.84605575407521
2.0,95.0,32.016646646656795,1.0986251248757517,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726315161522157,-31.96476114054192,60.0,nan
4.2,95.0,31.91374569402918,1.6358850015593978,3.1304503885157593,nan,analytical,4.726319383228997,-62.195855507731174,60.0,23.84605575407521
4.2,95.0,32.020790893145936,1.1294774862193862,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726315341972141,-51.586362851764775,60.0,nan
8.0,95.0,32.0036502469095,1.783776476317261,3.1304503885157593,nan,analytical,4.726314346160038,-202.09832741258526,60.0,23.84605575407521
8.0,95.0,32.03782102928839,1.1773881384088072,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726315820203377,-96.97589239610637,60.0,nan
2.0,95.0,31.986472759049526,1.454231510400423,3.1304503885157593,nan,analytical,4.726318685803458,-34.55141409414423,120.0,23.84605575407521
2.0,95.0,32.033509848480406,0.8592124624580902,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726314227790429,-39.009516163140454,120.0,nan
4.2,95.0,32.08276828192856,1.5211748441437687,3.1304503885157593,nan,analytical,4.726318463918614,-69.92501379564995,120.0,23.84605575407521
4.2,95.0,32.071572721250874,0.88947886312162,2.59039977757968,0.07415376690394047,reaction_diffusion,4.726322204568593,-67.37918557100834,120.0,nan
8.0,95.0,32.02825647570604,1.6702204985027322,3.1304503885157593,nan,analytical,4.7263162727217765,-251.6551513472268,120.0,23.84605575407521
8.0,95.0,31.878532383577536,0.9368891928408084,2.59039977757968,0.07415376690394047,reaction_diffusion,4.7263155725741415,-121.70271768421343,120.0,nan
2.0,110.0,32.01863209425881,1.3569486752865412,10.946588778768325,nan,analytical,4.72631470289225,-21.5781638951375,30.0,7.540374363782991
2.0,110.0,31.989293502606042,0.758532747203666,8.92891985031592,0.2076,reaction_diffusion,4.726314163066148,-23.54286877864547,30.0,nan
4.2,110.0,32.02947405514552,1.3290532524161298,10.946588778768325,nan,analytical,4.7263192087212635,-27.665815636551482,30.0,7.540374363782991
4.2,110.0,31.984384718405693,0.7638029787205232,8.92891985031592,0.2076,reaction_diffusion,4.726317264509988,-30.869175822850334,30.0,nan
8.0,110.0,32.03585096343346,1.3382874197797494,10.946588778768325,nan,analytical,4.726320212463794,-40.54526159233695,30.0,7.540374363782991
8.0,110.0,32.074789051624016,0.777139314746295,8.92891985031592,0.2076,reaction_diffusion,4.726320147570405,-44.88681130977592,30.0,nan
2.0,110.0,31.97702465372994,1.3336623440458484,10.946588778768325,nan,analytical,4.726317282583167,-21.625321872517723,60.0,7.540374363782991
2.0,110.0,32.00410728649467,0.6558840400714224,8.92891985031592,0.2076,reaction_diffusion,4.726321624350826,-26.137841617333066,60.0,nan
4.2,110.0,31.981963742351354,1.3062456290800837,10.946588778768325,nan,analytical,4.7263163299030735,-27.817727495597612,60.0,7.540374363782991
4.2,110.0,31.964705784451247,0.6650297732477934,8.92891985031592,0.2076,reaction_diffusion,4.726319619283179,-34.49441101706848,60.0,nan
8.0,110.0,32.01669336806009,1.3153213307007627,10.946588778768325,nan,analytical,4.72631707755463,-41.09523869196165,60.0,7.540374363782991
8.0,110.0,31.913603455564623,0.6813427425156475,8.92891985031592,0.2076,reaction_diffusion,4.726319018925004,-50.29049969096511,60.0,nan
2.0,110.0,31.969195897560553,1.3336623440458484,10.946588778768325,nan,analytical,4.726317282583167,-21.617415477785002,120.0,7.540374363782991
2.0,110.0,32.02466083235788,0.6446285421364236,8.92891985031592,0.2076,reaction_diffusion,4.726318407799628,-26.552119710492267,120.0,nan
4.2,110.0,31.97212179052002,1.3062456290800837,10.946588778768325,nan,analytical,4.7263163299030735,-27.805424638655463,120.0,7.540374363782991
4.2,110.0,32.044163788118766,0.6536173271716728,8.92891985031592,0.2076,reaction_diffusion,4.72631843380519,-34.972434690472724,120.0,nan
8.0,110.0,32.003099218067305,1.3153213307007627,10.946588778768325,nan,analytical,4.72631707755463,-41.074855812080784,120.0,7.540374363782991
8.0,110.0,31.996765296224794,0.6719726674071709,8.92891985031592,0.2076,reaction_diffusion,4.7263131882256815,-50.5157650251484,120.0,nan
2.0,125.0,32.01171184671125,0.9902488182850807,22.278996698882807,nan,analytical,4.726316756195083,-19.90122186336997,30.0,5.05416534475877
2.0,125.0,32.0315002757911,0.4344199822075086,18.81345782138041,0.2733257942886667,reaction_diffusion,4.7263179155966615,-23.031952975541103,30.0,nan
4.2,125.0,32.009969006085726,0.9665399012713468,22.278996698882807,nan,analytical,4.726319383353514,-23.87790747469767,30.0,5.05416534475877
4.2,125.0,31.996137751634713,0.4374383013113611,18.81345782138041,0.2733257942886667,reaction_diffusion,4.72631915977589,-29.18324208035891,30.0,nan
8.0,125.0,31.996532713180017,0.9565535066442631,22.278996698882807,nan,analytical,4.726317014918353,-31.444544758872556,30.0,5.05416534475877
8.0,125.0,32.06161547160961,0.44353799842319047,18.81345782138041,0.2733257942886667,reaction_diffusion,4.726316605205206,-40.43054119845323,30.0,nan
2.0,125.0,32.02624988162405,0.986826552101985,22.278996698882807,nan,analytical,4.726315897810967,-19.92402059091824,60.0,5.05416534475877
2.0,125.0,32.01731615214281,0.4025618832957504,18.81345782138041,0.2733257942886667,reaction_diffusion,4.726316548016516,-24.706399380530726,60.0,nan
4.2,125.0,32.02741099887737,0.9631995722978046,22.278996698882807,nan,analytical,4.726317326172857,-23.922886033411686,60.0,5.05416534475877
4.2,125.0,32.049919770396734,0.40676461926450624,18.81345782138041,0.2733257942886667,reaction_diffusion,4.726323602996798,-31.045192319227645,60.0,nan
8.0,125.0,32.02213842940106,0.9532476903103647,22.278996698882807,nan,analytical,4.726316993483868,-31.53994952719796,60.0,5.05416534475877
8.0,125.0,31.96271597631939,0.415302178645575,18.81345782138041,0.2733257942886667,reaction_diffusion,4.726319592422847,-42.35010679478726,60.0,nan
2.0,125.0,32.026106361697266,0.986826552101985,22.278996698882807,nan,analytical,4.726315897810967,-19.92391074779125,120.0,5.05416534475877
2.0,125.0,31.98854041932293,0.40117064314037987,18.81345782138041,0.2733257942886667,reaction_diffusion,4.726318596491318,-24.725310094022447,120.0,nan
4.2,125.0,32.02723957116196,0.9631995722978046,22.278996698882807,nan,analytical,4.726317326172857,-23.9227017859284,120.0,5.05416534475877
4.2,125.0,32.03618341802803,0.4053588545967942,18.81345782138041,0.2733257942886667,reaction_diffusion,4.726311988535006,-31.04260521186079,120.0,nan
8.0,125.0,32.02192078202075,0.9532476903103647,22.278996698882807,nan,analytical,4.726316993483868,-31.53965325343125,120.0,5.05416534475877
8.0,125.0,31.990768307453898,0.4138669084634746,18.81345782138041,0.2733257942886667,reaction_diffusion,4.72631801838868,-42.38673976872937,120.0,nan
2.0,140.0,32.02714885731095,0.7352631095065907,29.644191246832868,nan,analytical,4.72631607362184,-19.955502911198877,30.0,5.106887302782917
2.0,140.0,32.001750897048396,0.2937741393469101,25.599403187873836,0.2438,reaction_diffusion,4.726313442285099,-23.223323245423163,30.0,nan
4.2,140.0,32.02683641174957,0.7176591581312778,29.644191246832868,nan,analytical,4.726320021112357,-23.98880213001232,30.0,5.106887302782917
4.2,140.0,31.97376778274426,0.2958152611491412,25.599403187873836,0.2438,reaction_diffusion,4.726310276614116,-29.86229742689234,30.0,nan
8.0,140.0,32.02703444383657,0.7102442262165036,29.644191246832868,nan,analytical,4.726316439263023,-31.695863752927263,30.0,5.106887302782917
8.0,140.0,31.95370339289433,0.30098032574583206,25.599403187873836,0.2438,reaction_diffusion,4.726317902183976,-42.03463386636636,30.0,nan
2.0,140.0,31.969481001444542,0.7352631095065907,29.644191246832868,nan,analytical,4.72631607362184,-19.92283126683516,60.0,5.106887302782917
2.0,140.0,31.968088761364484,0.26571243239314196,25.599403187873836,0.2438,reaction_diffusion,4.726311666124842,-25.1633528577899,60.0,nan
4.2,140.0,32.04032998678757,0.7151789525278871,29.644191246832868,nan,analytical,4.726314765885202,-24.029855549455405,60.0,5.106887302782917
4.2,140.0,31.995854735778536,0.2684864635255029,25.599403187873836,0.2438,reaction_diffusion,4.726317176826094,-32.32681473248529,60.0,nan
8.0,140.0,32.04778861408713,0.7077896463652201,29.644191246832868,nan,analytical,4.7263176969822815,-31.785742449673272,60.0,5.106887302782917
8.0,140.0,31.97298085419009,0.27412171058683,25.599403187873836,0.2438,reaction_diffusion,4.726316919559281,-45.4551543760718,60.0,nan
2.0,140.0,31.969318784889346,0.7352631095065907,29.644191246832868,nan,analytical,4.72631607362184,-19.92275338939989,120.0,5.106887302782917
2.0,140.0,32.02511489232727,0.26296706284998095,25.599403187873836,0.2438,reaction_diffusion,4.726316811805724,-25.48089292090459,120.0,nan
4.2,140.0,32.04013564868691,0.7151789525278871,29.644191246832868,nan,analytical,4.726314765885202,-24.029647018240592,120.0,5.106887302782917
4.2,140.0,31.990752412747984,0.26663391010355647,25.599403187873836,0.2438,reaction_diffusion,4.726316961242754,-32.39891798304725,120.0,nan
8.0,140.0,32.04754150785437,0.7077896463652201,29.644191246832868,nan,analytical,4.7263176969822815,-31.78540628431078,120.0,5.106887302782917
8.0,140.0,32.0426805307751,0.27223027402682926,25.599403187873836,0.2438,reaction_diffusion,4.7263163887957145,-45.5956603730698,120.0,nan
