,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
-150,20.23,16.00,12.60,9.44,6.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-135,46.83,17.77,13.84,10.59,7.36,3.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-120,43.98,41.19,38.72,14.03,10.55,7.33,3.18,nan,nan,nan,nan,nan,nan,nan,nan,nan
-105,42.01,39.56,37.40,35.42,33.52,14.08,9.93,6.64,2.09,nan,nan,nan,nan,nan,nan,nan
-90,40.63,38.44,36.53,34.80,33.21,31.69,30.21,28.72,27.17,10.10,6.52,2.18,nan,nan,nan,nan
-75,39.65,37.66,35.94,34.41,33.01,31.73,30.52,29.36,28.24,27.13,26.03,24.90,23.72,22.43,20.95,5.81
-60,38.96,37.12,35.53,34.14,32.89,31.75,30.70,29.72,28.80,27.91,27.07,26.26,25.45,24.67,23.89,23.11
-45,38.48,36.75,35.26,33.96,32.81,31.77,30.82,29.94,29.12,28.36,27.64,26.96,26.31,25.68,25.08,24.49
-30,38.17,36.50,35.09,33.85,32.76,31.78,30.89,30.07,29.32,28.62,27.97,27.35,26.78,26.23,25.70,25.20
-15,37.99,36.37,34.99,33.79,32.73,31.78,30.93,30.14,29.43,28.76,28.14,27.56,27.02,26.50,26.01,25.55
0,37.94,36.33,34.96,33.77,32.72,31.79,30.94,30.17,29.46,28.80,28.19,27.62,27.09,26.58,26.11,25.66
15,38.00,36.37,34.99,33.79,32.73,31.78,30.92,30.14,29.42,28.76,28.13,27.55,27.01,26.49,26.00,25.54
30,38.18,36.52,35.10,33.86,32.76,31.78,30.88,30.07,29.31,28.61,27.95,27.34,26.75,26.20,25.67,25.17
45,38.51,36.77,35.28,33.97,32.81,31.77,30.81,29.93,29.11,28.34,27.61,26.92,26.27,25.63,25.02,24.43
60,39.00,37.15,35.56,34.16,32.90,31.75,30.69,29.70,28.77,27.88,27.02,26.19,25.38,24.58,23.78,22.98
75,39.70,37.70,35.97,34.43,33.02,31.73,30.50,29.33,28.19,27.06,25.93,24.77,23.53,22.17,8.28,4.33
90,40.70,38.50,36.57,34.84,33.22,31.68,30.18,28.66,27.06,9.14,5.69,nan,nan,nan,nan,nan
105,42.12,39.65,37.47,35.47,33.54,13.17,9.44,6.13,nan,nan,nan,nan,nan,nan,nan,nan
120,44.13,41.32,38.83,13.67,10.28,7.04,2.59,nan,nan,nan,nan,nan,nan,nan,nan,nan
135,47.06,17.53,13.70,10.46,7.22,2.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
150,20.20,15.99,12.58,9.42,5.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
